3月7日現在,,,,
銘柄コード,銘柄名,上場グループ種別,売買単位,貸借区分
1433,Ｍ－ベステラ,マザーズ（内国株）,100,制度信用銘柄
1434,ＪＥＳＣＯ　ＨＤ,市場第二部（内国株）,100,貸借銘柄
1435,Ｍ－インベスターズＣ,マザーズ（内国株）,100,制度信用銘柄
1456,大和２２５ベア,内国投信受益証券,1,貸借銘柄
1457,大和ＴＰＸベア,内国投信受益証券,1,貸借銘柄
1458,楽天２２５ダブルブル,内国投信受益証券,1,貸借銘柄
1459,楽天２２５ダブルベア,内国投信受益証券,1,貸借銘柄
1464,大和Ｊ４００ダブル,内国投信受益証券,1,貸借銘柄
1465,大和Ｊ４００ベア,内国投信受益証券,1,貸借銘柄
1466,大和Ｊ４００ダブベア,内国投信受益証券,1,貸借銘柄
1467,ＪＰＸ日経４００ブル,内国投信受益証券,10,貸借銘柄
1468,ＪＰＸ日経４００ベア,内国投信受益証券,10,貸借銘柄
1469,４００ベア２倍,内国投信受益証券,10,貸借銘柄
1470,Ｊ４００レバ,内国投信受益証券,1,貸借銘柄
1471,Ｊ４００インバ,内国投信受益証券,1,貸借銘柄
1472,Ｊ４００ダブルインバ,内国投信受益証券,1,貸借銘柄
1473,ＤＩＡＭ・トピックス,内国投信受益証券,10,貸借銘柄
1474,ＤＩＡＭ・ＪＰＸ４百,内国投信受益証券,1,貸借銘柄
1475,ｉＳＴＯＰＩＸ,内国投信受益証券,1,貸借銘柄
1476,ｉＳＪリート,内国投信受益証券,1,貸借銘柄
1477,ｉＳＭＳＣＩ最小分散,内国投信受益証券,1,貸借銘柄
1478,ｉＳＭＳＣＩ高配当,内国投信受益証券,1,貸借銘柄
1491,中外鉱,市場第二部（内国株）,100,制度信用銘柄
1514,住石ＨＤ,市場第一部（内国株）,100,貸借銘柄
1515,日鉄鉱,市場第一部（内国株）,1000,貸借銘柄
1518,三井松島,市場第一部（内国株）,1000,貸借銘柄
1540,純金信託,内国投信受益証券,1,貸借銘柄
1541,純プラ信,内国投信受益証券,1,貸借銘柄
1542,純銀信託,内国投信受益証券,1,貸借銘柄
1543,純パラ信,内国投信受益証券,1,貸借銘柄
1545,ＮＡＳＤＡＱ投信,内国投信受益証券,10,貸借銘柄
1546,ＮＹダウ３０投信,内国投信受益証券,1,貸借銘柄
1547,上場米国,内国投信受益証券,10,貸借銘柄
1548,上場チャイナ,内国投信受益証券,10,貸借銘柄
1549,上場インド,内国投信受益証券,10,貸借銘柄
1550,ＭＸＳ外株,内国投信受益証券,10,貸借銘柄
1551,ＪＡＳＤＡＱ２０,内国投信受益証券,10,貸借銘柄
1552,ＶＩＸ短期先物,内国投信受益証券,1,貸借銘柄
1554,上場ＭＳ世,内国投信受益証券,10,貸借銘柄
1555,上場Ａリート,内国投信受益証券,10,貸借銘柄
1557,ＳＰＤＲ５００,外国投信受益証券,1,貸借銘柄
1559,タイＳＥＴ５０,内国投信受益証券,1,貸借銘柄
1560,ブルサＫＬＣＩ,内国投信受益証券,1,貸借銘柄
1561,国際ＶＸ中先,内国投信受益証券,1,貸借銘柄
1562,ＹＭアジ日,内国投信受益証券,10,貸借銘柄
1563,マザーズコア,内国投信受益証券,1,貸借銘柄
1565,日経カバコ,内国投信受益証券,1,貸借銘柄
