3月7日現在,,,,
銘柄コード,銘柄名,上場グループ種別,売買単位,貸借区分
2590,ＤｙＤｏ,市場第一部（内国株）,100,貸借銘柄
2593,伊藤園,市場第一部（内国株）,100,貸借銘柄
25935,伊藤園－優,市場第一部（内国株）,100,貸借銘柄
2594,キーコーヒー,市場第一部（内国株）,100,貸借銘柄
2597,ユニカフェ,市場第一部（内国株）,100,制度信用銘柄
2599,ジャパンＦ,市場第一部（内国株）,100,貸借銘柄
2602,日清オイリオ,市場第一部（内国株）,1000,貸借銘柄
2607,不二製油Ｇ,市場第一部（内国株）,100,貸借銘柄
2608,ボーソー油,市場第二部（内国株）,1000,制度信用銘柄
2611,摂津製油,市場第二部（内国株）,1000,制度信用銘柄
2612,かどや油,市場第一部（内国株）,100,制度信用銘柄
2613,Ｊオイル,市場第一部（内国株）,1000,貸借銘柄
2651,ローソン,市場第一部（内国株）,100,貸借銘柄
2652,まんだらけ,市場第二部（内国株）,100,制度信用銘柄
2653,Ｊ－イオン九州,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2654,アスモ,市場第二部（内国株）,1000,貸借銘柄
2655,ＭＶ東北,市場第二部（内国株）,100,制度信用銘柄
2656,Ｊ－ベクター,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2659,サンエー,市場第一部（内国株）,100,貸借銘柄
2662,ダイユーエイト,市場第一部（内国株）,100,制度信用銘柄
2664,カワチ薬品,市場第一部（内国株）,100,制度信用銘柄
2666,Ｊ－オートウェーブ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2667,Ｊ－イメージワン,JASDAQスタンダード（内国株式）,100,貸借銘柄
2668,タビオ,市場第二部（内国株）,100,制度信用銘柄
2669,Ｊ－カネ美食品,JASDAQスタンダード（内国株式）,100,貸借銘柄
2670,ＡＢＣマート,市場第一部（内国株）,100,貸借銘柄
2673,Ｊ－夢みつけ隊,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2674,ハードオフ,市場第一部（内国株）,100,貸借銘柄
2675,ダイナック,市場第二部（内国株）,100,制度信用銘柄
2676,高千穂交,市場第一部（内国株）,100,貸借銘柄
2678,アスクル,市場第一部（内国株）,100,貸借銘柄
2681,ゲオＨＤ,市場第一部（内国株）,100,貸借銘柄
2683,魚喜,市場第二部（内国株）,100,制度信用銘柄
2685,アダストリア,市場第一部（内国株）,100,貸借銘柄
2686,ジーフット,市場第一部（内国株）,100,制度信用銘柄
2687,ＣＶＳベイ,市場第一部（内国株）,1000,貸借銘柄
2689,カワニシＨＤ,市場第二部（内国株）,100,貸借銘柄
2692,伊藤忠食,市場第一部（内国株）,100,制度信用銘柄
2693,Ｊ－ＹＫＴ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2694,Ｊ－Ｇテイスト,JASDAQスタンダード（内国株式）,100,貸借銘柄
2695,くら,市場第一部（内国株）,100,貸借銘柄
2698,キャンドゥ,市場第一部（内国株）,100,貸借銘柄
2700,Ｊ－木徳神糧,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
2702,Ｊ－マクドナルド,JASDAQスタンダード（内国株式）,100,貸借銘柄
2703,Ｊ－日本ライトン,JASDAQスタンダード（内国株式）,100,貸借銘柄
2705,Ｊ－大戸屋ＨＤ,JASDAQスタンダード（内国株式）,100,貸借銘柄
2706,Ｊ－ブロッコリー,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
2708,Ｊ－久世,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2710,Ｊ－ＣＳロジネット,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
2714,Ｊ－プラマテルズ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2715,エレマテック,市場第一部（内国株）,100,貸借銘柄
2719,キタムラ,市場第二部（内国株）,100,貸借銘柄
2721,Ｊ－ＪＨＤ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2722,Ｊ－アイケイ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2726,パル,市場第一部（内国株）,100,貸借銘柄
2729,ＪＡＬＵＸ,市場第一部（内国株）,100,貸借銘柄
2730,エディオン,市場第一部（内国株）,100,貸借銘柄
2733,あらた,市場第一部（内国株）,100,貸借銘柄
2734,サーラ,市場第一部（内国株）,100,貸借銘柄
2735,ワッツ,市場第一部（内国株）,100,貸借銘柄
2736,Ｊ－サダマツ,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
2737,トーメンデバ,市場第一部（内国株）,100,制度信用銘柄
2742,ハローズ,市場第一部（内国株）,100,制度信用銘柄
2743,Ｊ－ピクセル,JASDAQスタンダード（内国株式）,100,貸借銘柄
2747,Ｊ－北雄ラッキー,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
2749,ＪＰＨＤ,市場第一部（内国株）,100,貸借銘柄
2750,Ｊ－石光商事,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2751,Ｊ－テンポス,JASDAQスタンダード（内国株式）,100,貸借銘柄
2752,Ｊ－フジオフード,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2753,あみやき,市場第一部（内国株）,100,制度信用銘柄
2754,Ｊ－東葛ＨＤ,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
2760,東エレデバ,市場第一部（内国株）,100,貸借銘柄
2761,Ｊ－トシンＧ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2762,三光ＭＦ,市場第二部（内国株）,100,制度信用銘柄
2763,Ｊ－エフティグループ,JASDAQスタンダード（内国株式）,100,貸借銘柄
2764,ひらまつ,市場第一部（内国株）,100,制度信用銘柄
2767,フィールズ,市場第一部（内国株）,100,制度信用銘柄
2768,双日,市場第一部（内国株）,100,貸借銘柄
2769,Ｊ－ヴィレッジＶ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2772,ゲンキー,市場第一部（内国株）,100,貸借銘柄
2773,Ｊ－ミューチュアル,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2776,Ｊ－クリムゾン,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2777,Ｊ－カッシーナ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2778,Ｊ－パレモ,JASDAQスタンダード（内国株式）,100,貸借銘柄
2780,コメ兵,市場第二部（内国株）,100,制度信用銘柄
2782,Ｊ－セリア,JASDAQスタンダード（内国株式）,100,貸借銘柄
2784,アルフレッサＨＤ,市場第一部（内国株）,100,貸借銘柄
2786,サッポロドラッグ,市場第一部（内国株）,100,貸借銘柄
2788,アップル,市場第二部（内国株）,100,制度信用銘柄
2789,Ｊ－カルラ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2790,Ｊ－ナフコ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2791,大黒天,市場第一部（内国株）,100,制度信用銘柄
2792,ハニーズ,市場第一部（内国株）,100,貸借銘柄
2795,Ｊ－プリメックス,JASDAQスタンダード（内国株式）,100,貸借銘柄
2796,ファーマライズＨＤ,市場第一部（内国株）,100,貸借銘柄
2798,Ｙ’ｓ,市場第二部（内国株）,100,制度信用銘柄
2801,キッコマン,市場第一部（内国株）,1000,貸借銘柄
2802,味の素,市場第一部（内国株）,1000,貸借銘柄
2804,ブルソース,市場第二部（内国株）,1000,制度信用銘柄
2805,エスビー食,市場第二部（内国株）,100,制度信用銘柄
2806,ユタカフーズ,市場第二部（内国株）,100,制度信用銘柄
2809,キユーピー,市場第一部（内国株）,100,貸借銘柄
2810,ハウス食Ｇ,市場第一部（内国株）,100,貸借銘柄
2811,カゴメ,市場第一部（内国株）,100,貸借銘柄
2812,焼津水,市場第一部（内国株）,100,制度信用銘柄
2813,Ｊ－和弘食品,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
2814,Ｊ－佐藤食品,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2815,アリアケ,市場第一部（内国株）,100,貸借銘柄
2816,ダイショー,市場第二部（内国株）,100,貸借銘柄
2817,Ｊ－ギャバン,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
2818,ピエトロ,市場第一部（内国株）,100,制度信用銘柄
2819,エバラ食品工業,市場第一部（内国株）,100,制度信用銘柄
2830,アヲハタ,市場第二部（内国株）,100,制度信用銘柄
2831,はごろも,市場第二部（内国株）,1000,制度信用銘柄
2871,ニチレイ,市場第一部（内国株）,1000,貸借銘柄
2872,セイヒョー,市場第二部（内国株）,1000,制度信用銘柄
2874,ヨコレイ,市場第一部（内国株）,100,貸借銘柄
2875,東洋水産,市場第一部（内国株）,100,貸借銘柄
2876,Ｊ－ＪＣコムサ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2877,Ｊ－日東ベスト,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2882,イートアンド,市場第一部（内国株）,100,貸借銘柄
2883,大冷,市場第二部（内国株）,100,制度信用銘柄
2884,Ｍ－ヨシムラフードＨ,マザーズ（内国株）,100,制度信用銘柄
2892,日食化,市場第二部（内国株）,1000,制度信用銘柄
2894,石井食,市場第二部（内国株）,1000,制度信用銘柄
2897,日清食ＨＤ,市場第一部（内国株）,100,貸借銘柄
2899,永谷園ＨＤ,市場第一部（内国株）,1000,貸借銘柄
2901,Ｊ－石垣食品,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2903,シノブフーズ,市場第二部（内国株）,100,貸借銘柄
2904,一正蒲鉾,市場第一部（内国株）,100,貸借銘柄
2905,Ｊ－オーケー食品,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
2907,あじかん,市場第二部（内国株）,100,貸借銘柄
2908,フジッコ,市場第一部（内国株）,100,貸借銘柄
2910,ロックフィルド,市場第一部（内国株）,100,貸借銘柄
2911,旭松食品,市場第二部（内国株）,1000,制度信用銘柄
2914,ＪＴ,市場第一部（内国株）,100,貸借銘柄
2915,ケンコーマヨ,市場第一部（内国株）,100,貸借銘柄
2916,Ｊ－仙波糖化,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2917,Ｊ－大森屋,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
2918,わらべや,市場第一部（内国株）,100,貸借銘柄
2922,なとり,市場第一部（内国株）,100,貸借銘柄
2923,サトウ食品,市場第二部（内国株）,100,制度信用銘柄
2924,イフジ産業,市場第二部（内国株）,100,貸借銘柄
2925,Ｊ－ピックルス,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2926,篠崎屋,市場第二部（内国株）,100,貸借銘柄
2927,Ｊ－ＡＦＣ－ＨＤ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2929,Ｍ－ファーマＦ,マザーズ（内国株）,100,制度信用銘柄
2930,北の達人,市場第一部（内国株）,100,制度信用銘柄
2931,ユーグレナ,市場第一部（内国株）,100,貸借銘柄
3001,片倉,市場第一部（内国株）,100,貸借銘柄
3002,グンゼ,市場第一部（内国株）,1000,貸借銘柄
3003,ヒューリック,市場第一部（内国株）,100,貸借銘柄
3004,神栄,市場第一部（内国株）,1000,貸借銘柄
3010,価値開発,市場第二部（内国株）,1000,貸借銘柄
3011,バナーズ,市場第二部（内国株）,100,制度信用銘柄
3020,Ｊ－アプライド,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3021,Ｍ－ＰＣＮＥＴ,マザーズ（内国株）,100,制度信用銘柄
3022,山下医,市場第一部（内国株）,100,貸借銘柄
3023,ラサ商事,市場第一部（内国株）,100,貸借銘柄
3024,Ｊ－クリエイト,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3028,アルペン,市場第一部（内国株）,100,貸借銘柄
3030,Ｊ－ハブ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3031,Ｍ－ラクーン,マザーズ（内国株）,100,貸借銘柄
3034,クオール,市場第一部（内国株）,100,貸借銘柄
3035,Ｊ－ＫＴＫ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3036,アルコニックス,市場第一部（内国株）,100,貸借銘柄
3038,神戸物産,市場第一部（内国株）,100,制度信用銘柄
3040,Ｊ－ソリトン,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3041,Ｍ－ビ花壇,マザーズ（内国株）,100,貸借銘柄
3042,Ｊ－セキュアヴェイル,JASDAQグロース（内国株式）,100,制度信用銘柄
3043,Ｊ－モジュレ,JASDAQグロース（内国株式）,100,制度信用銘柄
3045,カワサキ,市場第二部（内国株）,100,制度信用銘柄
3046,ＪＩＮ,市場第一部（内国株）,100,貸借銘柄
3048,ビックカメラ,市場第一部（内国株）,100,貸借銘柄
3050,ＤＣＭ,市場第一部（内国株）,100,貸借銘柄
3053,Ｍ－ペッパー,マザーズ（内国株）,100,制度信用銘柄
3054,Ｊ－ハイパー,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3058,Ｊ－三洋堂ＨＤ,JASDAQスタンダード（内国株式）,100,貸借銘柄
3059,ヒラキ,市場第二部（内国株）,100,貸借銘柄
3063,Ｍ－ｊＧｒｏｕｐ,マザーズ（内国株）,100,貸借銘柄
3064,ＭＲＯ,市場第一部（内国株）,100,貸借銘柄
3065,Ｊ－ライフフーズ,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
3067,東京一番フーズ,市場第一部（内国株）,100,貸借銘柄
3068,Ｊ－ＷＤＩ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3069,Ｊ－アスラポート,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3070,Ｊ－アマガサ,JASDAQグロース（内国株式）,100,制度信用銘柄
3071,Ｍ－ストリーム,マザーズ（内国株）,100,制度信用銘柄
3073,ダイヤモンドＤ,市場第一部（内国株）,100,制度信用銘柄
3075,Ｊ－銚子丸,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3076,あいＨＤ,市場第一部（内国株）,100,貸借銘柄
3077,Ｊ－ホリイフード,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3079,ＤＶｘ,市場第一部（内国株）,100,貸借銘柄
3080,Ｊ－ジェーソン,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3082,きちり,市場第一部（内国株）,100,制度信用銘柄
3083,Ｊ－シーズメン,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3085,ＡＬサービス,市場第一部（内国株）,100,制度信用銘柄
3086,Ｊフロント,市場第一部（内国株）,100,貸借銘柄
3087,ドトル日レス,市場第一部（内国株）,100,貸借銘柄
3088,マツモトキヨシ,市場第一部（内国株）,100,貸借銘柄
3089,Ｊ－テクノアルファ,JASDAQスタンダード（内国株式）,100,貸借銘柄
3091,ブロンコＢ,市場第一部（内国株）,100,制度信用銘柄
3092,スタートトゥ,市場第一部（内国株）,100,貸借銘柄
3093,トレファク,市場第一部（内国株）,100,貸借銘柄
3094,Ｊ－スーパーＶ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3096,Ｊ－オーシャン,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3097,物語コーポ,市場第一部（内国株）,100,貸借銘柄
3098,ココカラファイン,市場第一部（内国株）,100,貸借銘柄
3099,ミツコシイセタン,市場第一部（内国株）,100,貸借銘柄
3101,東洋紡,市場第一部（内国株）,1000,貸借銘柄
3103,ユニチカ,市場第一部（内国株）,1000,貸借銘柄
3104,富士紡ＨＤ,市場第一部（内国株）,1000,貸借銘柄
3105,日清紡ＨＤ,市場第一部（内国株）,100,貸借銘柄
3106,クラボウ,市場第一部（内国株）,1000,貸借銘柄
3107,ダイワボＨＤ,市場第一部（内国株）,1000,貸借銘柄
3109,シキボウ,市場第一部（内国株）,1000,貸借銘柄
3110,日東紡,市場第一部（内国株）,1000,貸借銘柄
3111,オーミケンシ,市場第二部（内国株）,1000,制度信用銘柄
3113,Ｏａｋ,市場第二部（内国株）,100,制度信用銘柄
3116,トヨタ紡織,市場第一部（内国株）,100,貸借銘柄
3121,マーチャント,市場第二部（内国株）,100,貸借銘柄
3123,サイボー,市場第二部（内国株）,100,制度信用銘柄
3125,新内外綿,市場第二部（内国株）,1000,制度信用銘柄
3131,Ｊ－シンデンハイテク,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3132,マクニカ富士エレＨＤ,市場第一部（内国株）,100,貸借銘柄
3133,Ｍ－海帆,マザーズ（内国株）,100,制度信用銘柄
3134,Ｍ－Ｈａｍｅｅ,マザーズ（内国株）,100,制度信用銘柄
3135,Ｍ－マーケットエンタ,マザーズ（内国株）,100,制度信用銘柄
3137,Ｍ－ファンデリー,マザーズ（内国株）,100,制度信用銘柄
3138,Ｍ－富士山マガジン,マザーズ（内国株）,100,制度信用銘柄
3139,ラクト・ジャパン,市場第二部（内国株）,100,貸借銘柄
3140,Ｊ－イデアインター,JASDAQグロース（内国株式）,100,制度信用銘柄
3141,ウエルシアＨＤ,市場第一部（内国株）,100,貸借銘柄
3143,オーウイル,市場第二部（内国株）,100,制度信用銘柄
3147,Ｊ－リック,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3148,クリエイトＳＤＨ,市場第一部（内国株）,100,貸借銘柄
3150,Ｊ－グリムス,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3151,バイタルＫＳＫ,市場第一部（内国株）,100,貸借銘柄
3153,八洲電機,市場第一部（内国株）,100,制度信用銘柄
3154,Ｊ－メディアスＨＤ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3156,ＵＫＣＨＤ,市場第一部（内国株）,100,貸借銘柄
3157,Ｊ－ジューテックＨＤ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3159,丸善ＣＨＩ,市場第一部（内国株）,100,貸借銘柄
3160,大光,市場第二部（内国株）,100,制度信用銘柄
3161,アゼアス,市場第二部（内国株）,100,制度信用銘柄
3165,Ｊ－フーマイエレ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3166,ＯＣＨＩ・ＨＤ,市場第一部（内国株）,100,貸借銘柄
3167,ＴＯＫＡＩ　ＨＤ,市場第一部（内国株）,100,貸借銘柄
3168,黒谷,市場第二部（内国株）,100,貸借銘柄
3169,ミサワ,市場第一部（内国株）,100,制度信用銘柄
3170,Ｊ－アイセイ薬局,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3171,Ｊ－ＭＶ九州,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3172,ティーライフ,市場第二部（内国株）,100,制度信用銘柄
3173,大阪工機,市場第二部（内国株）,100,制度信用銘柄
3174,Ｊ－ハピネス＆Ｄ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3175,ＡＰカンパニー,市場第一部（内国株）,100,制度信用銘柄
3176,三洋貿易,市場第一部（内国株）,100,貸借銘柄
3177,Ｊ－ありがとうＳ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3178,チムニー,市場第一部（内国株）,100,貸借銘柄
3179,シュッピン,市場第一部（内国株）,100,制度信用銘柄
3180,Ｍ－Ｂガレジ,マザーズ（内国株）,100,制度信用銘柄
3181,Ｊ－買取王国,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3182,Ｍ－オイシックス,マザーズ（内国株）,100,制度信用銘柄
3183,ウイン・パートナーズ,市場第一部（内国株）,100,貸借銘柄
3184,ＩＣＤＡ・ＨＤ,市場第二部（内国株）,100,制度信用銘柄
3185,Ｍ－夢展望,マザーズ（内国株）,100,制度信用銘柄
3186,ネクステージ,市場第一部（内国株）,100,貸借銘柄
3187,Ｍ－サンワカンパニー,マザーズ（内国株）,100,貸借銘柄
3189,Ｊ－ＡＮＡＰ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3190,Ｊ－ホットマン,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3191,ジョイフル本田,市場第一部（内国株）,100,貸借銘柄
3192,Ｊ－白鳩,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3193,鳥貴族,市場第二部（内国株）,100,貸借銘柄
3194,キリン堂ＨＤ,市場第一部（内国株）,100,制度信用銘柄
3195,Ｍ－ジェネパ,マザーズ（内国株）,100,制度信用銘柄
3196,ホットランド,市場第一部（内国株）,100,貸借銘柄
3197,すかいらーく,市場第一部（内国株）,100,貸借銘柄
3198,ＳＦＰダイニング,市場第二部（内国株）,100,制度信用銘柄
3199,綿半ホールディングス,市場第一部（内国株）,100,貸借銘柄
3201,ニッケ,市場第一部（内国株）,100,貸借銘柄
3202,大東紡,市場第一部（内国株）,1000,制度信用銘柄
3204,トーア紡,市場第一部（内国株）,100,貸借銘柄
3205,ダイドー,市場第一部（内国株）,100,貸借銘柄
3209,カネヨウ,市場第二部（内国株）,1000,貸借銘柄
3221,ヨシックス,市場第二部（内国株）,100,制度信用銘柄
3222,Ｕ．Ｓ．Ｍ．Ｈ,市場第一部（内国株）,100,貸借銘柄
3223,Ｊ－エスエルディー,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3224,Ｍ－ヒューマンウェブ,マザーズ（内国株）,100,制度信用銘柄
3226,Ｒ－アコモＦ,投資証券,1,貸借銘柄
3227,Ｒ－ＭｉｄＣｉｔｙ,投資証券,1,制度信用銘柄
3228,三栄建築,市場第一部（内国株）,100,制度信用銘柄
3230,スター・マイカ,市場第二部（内国株）,100,貸借銘柄
3231,野村不ＨＤ,市場第一部（内国株）,100,貸借銘柄
3232,三重交通ＧＨＤ,市場第一部（内国株）,100,貸借銘柄
3234,Ｒ－森ヒルズ,投資証券,1,貸借銘柄
3236,Ｊ－プロパスト,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3237,Ｍ－イントランス,マザーズ（内国株）,100,制度信用銘柄
3238,セントラル総,市場第二部（内国株）,100,制度信用銘柄
3241,ウィル,市場第二部（内国株）,100,制度信用銘柄
3242,Ｊ－アーバネット,JASDAQスタンダード（内国株式）,100,貸借銘柄
3244,サムティ,市場第一部（内国株）,100,貸借銘柄
3245,ディア・ライフ,市場第一部（内国株）,100,貸借銘柄
3246,Ｊ－コーセーＲＥ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3248,Ｍ－アールエイシ,マザーズ（内国株）,100,制度信用銘柄
3249,Ｒ－産業ファ,投資証券,1,貸借銘柄
3250,ＡＤワークス,市場第一部（内国株）,100,貸借銘柄
3252,日本商業開発,市場第一部（内国株）,100,貸借銘柄
3254,プレサンス,市場第一部（内国株）,100,制度信用銘柄
3258,ユニゾＨＤ,市場第一部（内国株）,100,貸借銘柄
3261,Ｍ－グラン,マザーズ（内国株）,100,制度信用銘柄
3263,Ｒ－ハウスリート,投資証券,1,貸借銘柄
3264,Ｊ－アスコット,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3266,Ｊ－ファンドクリＧ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3269,Ｒ－ＡＤＲ,投資証券,1,貸借銘柄
3271,グロバル社,市場第二部（内国株）,100,貸借銘柄
3275,Ｊ－ハウスコム,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3276,日本管理,市場第一部（内国株）,100,貸借銘柄
3277,サンセイランディック,市場第一部（内国株）,100,貸借銘柄
3278,Ｒ－ケネディレジ,投資証券,1,貸借銘柄
3279,Ｒ－ＡＰＩ,投資証券,1,貸借銘柄
3280,エストラスト,市場第一部（内国株）,100,貸借銘柄
3281,Ｒ－ＧＬＰ,投資証券,1,貸借銘柄
3282,Ｒ－コンフォリア,投資証券,1,制度信用銘柄
3283,Ｒ－プロロジ,投資証券,1,貸借銘柄
3284,フージャース,市場第一部（内国株）,100,貸借銘柄
3286,Ｍ－トラストＨＤ,マザーズ（内国株）,100,制度信用銘柄
3287,Ｒ－星野,投資証券,1,制度信用銘柄
3288,オープンハウス,市場第一部（内国株）,100,貸借銘柄
3289,東急不ＨＤ,市場第一部（内国株）,100,貸借銘柄
3290,Ｒ－ＳＩＡリート,投資証券,1,制度信用銘柄
3291,飯田ＧＨＤ,市場第一部（内国株）,100,貸借銘柄
3292,Ｒ－イオンリート,投資証券,1,貸借銘柄
3293,Ｊ－アズマハウス,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3294,イーグランド,市場第二部（内国株）,100,貸借銘柄
3295,Ｒ－ヒューリックＲＥ,投資証券,1,貸借銘柄
3296,Ｒ－日本リート,投資証券,1,制度信用銘柄
3297,Ｊ－東武住販,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3298,Ｒ－インベスコ,投資証券,1,制度信用銘柄
3299,ムゲンエステート,市場第一部（内国株）,100,貸借銘柄
3300,Ｍ－ＡＭＢＩＴＩＯＮ,マザーズ（内国株）,100,制度信用銘柄
3302,帝繊維,市場第一部（内国株）,100,制度信用銘柄
3306,日製麻,市場第二部（内国株）,1000,制度信用銘柄
3308,Ｒ－日本ヘルスケア,投資証券,1,制度信用銘柄
3309,Ｒ－積水ハウスリート,投資証券,1,制度信用銘柄
3313,ブックオフ,市場第一部（内国株）,100,貸借銘柄
3315,日本コークス,市場第一部（内国株）,100,制度信用銘柄
3316,Ｊ－東日コンシス,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3317,Ｊ－フライングＧ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3318,Ｊ－メガネスーパ,JASDAQスタンダード（内国株式）,100,非制度信用銘柄
3319,ＧＤＯ,市場第一部（内国株）,100,制度信用銘柄
3320,クロスプラス,市場第二部（内国株）,100,貸借銘柄
3321,ミタチ,市場第一部（内国株）,100,貸借銘柄
3322,Ｊ－アルファＧ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3323,Ｊ－レカム,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3325,Ｍ－ケンコーコム,マザーズ（内国株）,100,非制度信用銘柄
3326,Ｊ－ランシステム,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3328,Ｍ－ＢＥＥＮＯＳ,マザーズ（内国株）,100,制度信用銘柄
3329,Ｊ－東和フード,JASDAQスタンダード（内国株式）,100,貸借銘柄
3333,あさひ,市場第一部（内国株）,100,制度信用銘柄
3341,日本調剤,市場第一部（内国株）,100,制度信用銘柄
3344,Ｊ－ワンダーＣｏ．,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3347,トラスト,市場第二部（内国株）,100,貸借銘柄
3349,コスモス薬品,市場第一部（内国株）,100,貸借銘柄
3350,Ｊ－ＲＥＤ,JASDAQスタンダード（内国株式）,100,貸借銘柄
3352,Ｊ－バッファロー,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3353,Ｊ－メディ一光,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3355,クリヤマＨＤ,市場第二部（内国株）,100,制度信用銘柄
3356,Ｊ－テリロジー,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3358,Ｊ－ワイエスフード,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3359,Ｍ－タイセイ,マザーズ（内国株）,100,貸借銘柄
3360,シップＨＤ,市場第一部（内国株）,100,貸借銘柄
3361,トーエル,市場第一部（内国株）,100,制度信用銘柄
3366,一六堂,市場第一部（内国株）,100,制度信用銘柄
3370,Ｊ－フジタコーポ,JASDAQスタンダード（内国株式）,100,非制度信用銘柄
3371,ソフトクリエＨＤ,市場第一部（内国株）,100,貸借銘柄
3372,Ｍ－関門海,マザーズ（内国株）,100,貸借銘柄
3374,Ｊ－内外テック,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
3375,Ｊ－ＺＯＡ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3376,オンリー,市場第二部（内国株）,100,制度信用銘柄
3377,バイク王,市場第二部（内国株）,100,貸借銘柄
3382,７＆ｉＨＤ,市場第一部（内国株）,100,貸借銘柄
3385,薬王堂,市場第一部（内国株）,100,貸借銘柄
3386,Ｊ－コスモ・バイオ,JASDAQスタンダード（内国株式）,100,貸借銘柄
3387,クリレスＨＤ,市場第一部（内国株）,100,貸借銘柄
3388,明治電機,市場第一部（内国株）,100,制度信用銘柄
3390,Ｊ－ＵＳシステムズ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
3391,ツルハＨＤ,市場第一部（内国株）,100,貸借銘柄
3392,デリカフーズ,市場第一部（内国株）,100,制度信用銘柄
