▼一般信用（長期・売短）売建可能銘柄一覧
種類,融資銘柄,銘柄コード,銘柄名称
長期,,4968,荒川化学工業
長期,○,4973,日本高純度化学
長期,,4975,ＪＣＵ
長期,○,4980,デクセリアルズ
長期,,4985,アース製薬
長期,,4989,イハラケミカル工業
長期,,4992,北興化学工業
長期,,4994,大成ラミック
長期,,4996,クミアイ化学工業
長期,,5002,昭和シェル石油
長期,,5009,富士興産
長期,,5011,ニチレキ
長期,,5012,東燃ゼネラル石油
長期,,5013,ユシロ化学工業
売短,○,5015,ビーピー・カストロール
長期,,5017,富士石油
売短,,5018,ＭＯＲＥＳＣＯ
長期,,5019,出光興産
長期,,5020,ＪＸホールディングス
長期,,5021,コスモエネルギーホールディングス
長期,,5101,横浜ゴム
長期,,5105,東洋ゴム工業
長期,,5108,ブリヂストン
長期,,5110,住友ゴム工業
長期,,5121,藤倉ゴム工業
長期,,5122,オカモト
長期,,5142,アキレス
長期,,5185,フコク
長期,,5186,ニッタ
長期,○,5187,クリエートメディック
長期,,5191,住友理工
長期,,5192,三ツ星ベルト
長期,,5195,バンドー化学
長期,,5196,鬼怒川ゴム工業
長期,,5201,旭硝子
長期,,5202,日本板硝子
長期,,5208,有沢製作所
長期,,5210,日本山村硝子
長期,,5214,日本電気硝子
売短,○,5216,倉元製作所
売短,,5218,オハラ
長期,,5232,住友大阪セメント
長期,,5233,太平洋セメント
長期,○,5261,リゾートソリューション
長期,,5262,日本ヒューム
長期,,5269,日本コンクリート工業
長期,,5273,三谷セキサン
長期,,5301,東海カーボン
長期,○,5310,東洋炭素
長期,,5331,ノリタケカンパニーリミテド
長期,,5332,ＴＯＴＯ
長期,,5333,日本碍子
長期,,5334,日本特殊陶業
長期,,5344,ＭＡＲＵＷＡ
長期,,5351,品川リフラクトリーズ
長期,,5352,黒崎播磨
長期,,5357,ヨータイ
長期,,5358,イソライト工業
長期,,5367,ニッカトー
長期,,5384,フジミインコーポレーテッド
長期,,5391,エーアンドエーマテリアル
長期,,5393,ニチアス
長期,,5401,新日鐵住金
長期,,5406,神戸製鋼所
長期,,5410,合同製鐵
長期,,5411,ジェイ　エフ　イー　ホールディングス
長期,,5413,日新製鋼
長期,,5423,東京製鐵
長期,,5440,共英製鋼
長期,,5444,大和工業
長期,○,5445,東京鐵鋼
長期,,5449,大阪製鐵
長期,,5451,淀川製鋼所
長期,,5453,東洋鋼鈑
長期,,5463,丸一鋼管
長期,,5471,大同特殊鋼
長期,,5476,日本高周波鋼業
長期,,5481,山陽特殊製鋼
長期,,5482,愛知製鋼
長期,,5486,日立金属
売短,○,5542,新報国製鉄
長期,,5563,新日本電工
長期,,5602,栗本鐵工所
長期,○,5612,日本鋳鉄管
長期,,5631,日本製鋼所
長期,,5632,三菱製鋼
長期,,5702,大紀アルミニウム工業所
長期,,5703,日本軽金属ホールディングス
長期,,5706,三井金属鉱業
長期,,5707,東邦亜鉛
長期,,5711,三菱マテリアル
長期,,5713,住友金属鉱山
長期,,5714,ＤＯＷＡホールディングス
長期,,5715,古河機械金属
長期,,5741,ＵＡＣＪ
長期,,5801,古河電気工業
長期,,5802,住友電気工業
長期,,5803,フジクラ
長期,,5805,昭和電線ホールディングス
長期,,5807,東京特殊電線
長期,,5809,タツタ電線
売短,,5816,オーナンバ
長期,○,5819,カナレ電気
長期,○,5821,平河ヒューテック
長期,,5851,リョービ
長期,,5857,アサヒホールディングス
売短,○,5900,ダイケン
長期,,5901,東洋製罐グループホールディングス
長期,○,5909,コロナ
長期,,5911,横河ブリッジホールディングス
長期,,5923,高田機工
長期,,5929,三和ホールディングス
長期,,5930,文化シヤッター
長期,,5932,三協立山
長期,,5933,アルインコ
長期,,5936,東洋シヤッター
長期,,5938,ＬＩＸＩＬグループ
長期,○,5942,日本フイルコン
長期,,5943,ノーリツ
長期,,5946,長府製作所
長期,,5947,リンナイ
長期,,5949,ユニプレス
長期,,5951,ダイニチ工業
長期,,5957,日東精工
長期,,5958,三洋工業
長期,,5959,岡部
長期,,5970,ジーテクト
長期,,5975,東プレ
長期,,5976,高周波熱錬
長期,,5981,東京製綱
長期,,5985,サンコール
長期,,5986,モリテック　スチール
長期,○,5988,パイオラックス
長期,,5991,日本発条
長期,,5992,中央発條
長期,,5998,アドバネクス
長期,,6005,三浦工業
長期,,6013,タクマ
長期,○,6028,テクノプロ・ホールディングス
売短,○,6029,アトラ
売短,,6038,イード
売短,○,6044,三機サービス
売短,,6071,ＩＢＪ
売短,○,6076,アメイズ
売短,,6083,ＥＲＩホールディングス
長期,○,6087,アビスト
長期,,6089,ウィルグループ
売短,,6091,ウエスコホールディングス
売短,○,6093,エスクロー・エージェント・ジャパン
長期,,6098,リクルートホールディングス
長期,,6101,ツガミ
長期,,6103,オークマ
長期,,6104,東芝機械
長期,,6113,アマダホールディングス
長期,,6118,アイダエンジニアリング
長期,○,6121,滝澤鉄工所
長期,,6134,富士機械製造
長期,,6135,牧野フライス製作所
長期,,6136,オーエスジー
長期,,6140,旭ダイヤモンド工業
長期,,6141,ＤＭＧ森精機
長期,,6143,ソディック
長期,,6146,ディスコ
長期,,6151,日東工器
長期,,6165,パンチ工業
売短,○,6172,メタップス
売短,○,6177,ＡｐｐＢａｎｋ
長期,,6178,日本郵政
売短,○,6183,ベルシステム２４ホールディングス
長期,,6201,豊田自動織機
長期,,6205,ＯＫＫ
長期,,6210,東洋機械金属
長期,,6222,島精機製作所
長期,,6238,フリュー
長期,,6247,日阪製作所
長期,,6250,やまびこ
売短,,6255,エヌ・ピー・シー
長期,○,6262,ペガサスミシン製造
売短,○,6266,タツモ
長期,,6268,ナブテスコ
売短,,6269,三井海洋開発
長期,,6272,レオン自動機
長期,,6273,ＳＭＣ
長期,,6277,ホソカワミクロン
売短,,6278,ユニオンツール
長期,,6282,オイレス工業
長期,,6287,サトーホールディングス
長期,,6293,日精樹脂工業
長期,,6301,小松製作所
長期,,6302,住友重機械工業
長期,,6305,日立建機
長期,,6306,日工
長期,○,6309,巴工業
長期,,6316,丸山製作所
長期,,6317,北川鉄工所
長期,○,6319,シンニッタン
売短,○,6323,ローツェ
長期,,6326,クボタ
長期,,6328,荏原実業
長期,,6330,東洋エンジニアリング
長期,,6332,月島機械
長期,,6333,帝国電機製作所
長期,,6339,新東工業
長期,,6340,澁谷工業
長期,,6345,アイチコーポレーション
長期,,6349,小森コーポレーション
長期,,6351,鶴見製作所
長期,,6355,住友精密工業
長期,,6358,酒井重工業
長期,,6361,荏原製作所
長期,,6362,石井鐵工所
長期,,6364,北越工業
長期,,6366,千代田化工建設
長期,,6367,ダイキン工業
長期,,6368,オルガノ
長期,,6369,トーヨーカネツ
長期,,6370,栗田工業
長期,,6371,椿本チエイン
長期,,6373,大同工業
長期,,6376,日機装
長期,,6378,木村化工機
長期,,6379,新興プランテック
長期,,6381,アネスト岩田
長期,,6383,ダイフク
長期,,6390,加藤製作所
長期,,6393,油研工業
長期,,6395,タダノ
売短,○,6400,不二精機
長期,,6406,フジテック
長期,,6407,ＣＫＤ
長期,,6412,平和
長期,,6413,理想科学工業
長期,,6417,ＳＡＮＫＹＯ
長期,,6418,日本金銭機械
長期,,6419,マースエンジニアリング
長期,○,6420,福島工業
長期,,6425,ユニバーサルエンターテインメント
長期,,6432,竹内製作所
長期,,6436,アマノ
売短,,6440,ＪＵＫＩ
長期,,6444,サンデンホールディングス
長期,,6445,蛇の目ミシン工業
長期,,6448,ブラザー工業
長期,,6454,マックス
長期,,6455,モリタホールディングス
長期,,6457,グローリー
長期,,6458,新晃工業
長期,,6459,大和冷機工業
長期,,6460,セガサミーホールディングス
長期,,6461,日本ピストンリング
長期,,6462,リケン
長期,,6463,ＴＰＲ
長期,,6465,ホシザキ電機
長期,,6470,大豊工業
長期,,6471,日本精工
長期,,6472,ＮＴＮ
長期,,6473,ジェイテクト
長期,,6474,不二越
長期,,6479,ミネベア
長期,,6480,日本トムソン
長期,,6481,ＴＨＫ
長期,,6482,ユーシン精機
長期,,6485,前澤給装工業
長期,,6486,イーグル工業
売短,,6489,前澤工業
長期,,6490,日本ピラー工業
長期,,6498,キッツ
長期,,6501,日立製作所
長期,,6502,東芝
長期,,6503,三菱電機
長期,,6504,富士電機
長期,,6505,東洋電機製造
長期,,6506,安川電機
長期,,6507,シンフォニア　テクノロジー
長期,,6508,明電舎
長期,○,6513,オリジン電気
長期,,6516,山洋電気
長期,,6517,デンヨー
長期,,6581,日立工機
長期,,6584,三櫻工業
長期,,6586,マキタ
長期,,6588,東芝テック
長期,,6592,マブチモーター
長期,,6594,日本電産
長期,,6617,東光高岳
長期,,6622,ダイヘン
長期,,6624,田淵電機
売短,○,6630,ヤーマン
長期,,6632,ＪＶＣケンウッド
売短,,6633,Ｃ＆Ｇシステムズ
長期,,6640,第一精工
長期,,6641,日新電機
長期,,6645,オムロン
長期,,6651,日東工業
長期,,6652,ＩＤＥＣ
売短,○,6656,インスペック
売短,○,6662,ユビテック
売短,○,6668,アドテック　プラズマ　テクノロジー
売短,○,6669,シーシーエス
長期,,6674,ジーエス・ユアサ　コーポレーション
長期,,6675,サクサホールディングス
長期,,6676,メルコホールディングス
長期,,6701,日本電気
長期,,6702,富士通
長期,,6703,沖電気工業
長期,,6706,電気興業
長期,,6707,サンケン電気
長期,,6718,アイホン
長期,,6724,セイコーエプソン
長期,,6728,アルバック
長期,,6730,アクセル
長期,,6737,ＥＩＺＯ
長期,,6740,ジャパンディスプレイ
長期,,6741,日本信号
長期,,6742,京三製作所
長期,,6744,能美防災
長期,,6745,ホーチキ
長期,,6750,エレコム
長期,,6751,日本無線
長期,,6752,パナソニック
長期,,6754,アンリツ
長期,,6755,富士通ゼネラル
長期,,6756,日立国際電気
長期,,6758,ソニー
長期,,6762,ＴＤＫ
長期,,6763,帝国通信工業
長期,,6768,タムラ製作所
売短,○,6769,ザインエレクトロニクス
長期,,6770,アルプス電気
長期,,6773,パイオニア
長期,○,6779,日本電波工業
長期,○,6785,鈴木
長期,,6789,ローランド　ディー．ジー．
長期,,6794,フォスター電機
長期,,6796,クラリオン
長期,,6798,ＳＭＫ
長期,,6800,ヨコオ
長期,,6801,東光
長期,,6804,ホシデン
長期,,6806,ヒロセ電機
長期,,6807,日本航空電子工業
長期,,6809,ＴＯＡ
長期,,6810,日立マクセル
長期,,6814,古野電気
長期,,6815,ユニデンホールディングス
長期,,6816,アルパイン
売短,,6817,スミダコーポレーション
長期,,6820,アイコム
長期,,6823,リオン
売短,○,6835,アライドテレシスホールディングス
長期,,6841,横河電機
長期,,6844,新電元工業
長期,,6845,アズビル
長期,,6849,日本光電工業
長期,,6850,チノー
長期,,6853,共和電業
長期,,6856,堀場製作所
長期,,6857,アドバンテスト
長期,,6859,エスペック
長期,,6860,パナソニック　デバイスＳＵＮＸ
長期,,6861,キーエンス
長期,○,6866,日置電機
長期,,6869,シスメックス
売短,○,6870,日本フェンオール
長期,,6877,ＯＢＡＲＡ　ＧＲＯＵＰ
売短,,6888,アクモス
売短,○,6890,フェローテック
長期,,6902,デンソー
長期,,6905,コーセル
長期,○,6907,ジオマテック
長期,,6914,オプテックス
長期,,6915,千代田インテグレ
売短,,6916,アイ・オー・データ機器
長期,○,6920,レーザーテック
長期,,6923,スタンレー電気
長期,,6924,岩崎電気
長期,,6925,ウシオ電機
長期,,6932,遠藤照明
長期,,6935,日本デジタル研究所
長期,,6947,図研
長期,,6951,日本電子
長期,,6952,カシオ計算機
長期,,6954,ファナック
長期,,6961,エンプラス
長期,,6963,ローム
長期,,6965,浜松ホトニクス
長期,,6966,三井ハイテック
長期,,6967,新光電気工業
長期,,6971,京セラ
売短,○,6972,エルナー
長期,○,6973,協栄産業
長期,,6976,太陽誘電
長期,,6981,村田製作所
売短,,6985,ユーシン
長期,,6986,双葉電子工業
長期,,6988,日東電工
長期,,6989,北陸電気工業
長期,,6995,東海理化電機製作所
長期,,6996,ニチコン
長期,,6997,日本ケミコン
長期,,6999,ＫＯＡ
長期,,7003,三井造船
長期,,7004,日立造船
長期,,7011,三菱重工業
長期,,7012,川崎重工業
長期,,7013,ＩＨＩ
長期,,7014,名村造船所
長期,,7022,サノヤスホールディングス
長期,,7105,ニチユ三菱フォークリフト
売短,,7122,近畿車輛
長期,,7150,島根銀行
長期,,7161,じもとホールディングス
長期,,7164,全国保証
長期,,7167,足利ホールディングス
売短,○,7172,ジャパンインベストメントアドバイザー
長期,,7173,東京ＴＹフィナンシャルグループ
長期,,7180,九州フィナンシャルグループ
長期,,7182,ゆうちょ銀行
長期,,7201,日産自動車
長期,,7202,いすゞ自動車
長期,,7203,トヨタ自動車
長期,,7205,日野自動車
長期,,7211,三菱自動車工業
長期,,7214,ＧＭＢ
長期,○,7215,ファルテック
長期,,7220,武蔵精密工業
長期,,7222,日産車体
長期,,7224,新明和工業
長期,,7226,極東開発工業
売短,○,7228,デイトナ
長期,,7230,日信工業
長期,,7231,トピー工業
長期,,7236,ティラド
長期,,7239,タチエス
長期,,7240,ＮＯＫ
長期,,7241,フタバ産業
長期,,7242,ＫＹＢ
長期,,7243,シロキ工業
売短,,7244,市光工業
長期,,7245,大同メタル工業
長期,,7246,プレス工業
長期,○,7247,ミクニ
長期,,7248,カルソニックカンセイ
長期,,7250,太平洋工業
長期,,7251,ケーヒン
長期,,7256,河西工業
長期,,7259,アイシン精機
長期,○,7260,富士機工
長期,,7261,マツダ
長期,,7262,ダイハツ工業
長期,,7267,本田技研工業
長期,,7269,スズキ
長期,,7270,富士重工業
長期,○,7271,安永
長期,,7272,ヤマハ発動機
長期,,7274,ショーワ
長期,,7276,小糸製作所
長期,,7277,ＴＢＫ
長期,,7278,エクセディ
長期,,7279,ハイレックスコーポレーション
長期,,7280,ミツバ
長期,,7282,豊田合成
長期,,7283,愛三工業
長期,○,7284,盟和産業
長期,,7287,日本精機
長期,○,7292,村上開明堂
長期,,7294,ヨロズ
長期,,7296,エフ・シー・シー
長期,,7309,シマノ
長期,,7313,テイ・エス　テック
長期,,7414,小野建
長期,,7420,佐鳥電機
長期,○,7421,カッパ・クリエイト
売短,,7427,エコートレーディング
長期,,7433,伯東
長期,,7445,ライトオン
長期,,7447,ナガイレーベン
売短,○,7450,サンデー
長期,,7451,三菱食品
長期,,7453,良品計画
長期,,7455,三城ホールディングス
長期,,7456,松田産業
長期,,7458,第一興商
長期,,7459,メディパルホールディングス
長期,,7463,アドヴァン
長期,○,7466,ＳＰＫ
長期,,7467,萩原電気
長期,,7476,アズワン
長期,,7480,スズデン
長期,,7482,シモジマ
長期,,7483,ドウシシャ
売短,,7487,小津産業
長期,,7494,コナカ
売短,○,7501,ティムコ
長期,,7504,高速
長期,,7508,Ｇ－７ホールディングス
売短,,7512,イオン北海道
長期,,7513,コジマ
売短,○,7514,ヒマラヤ
長期,,7516,コーナン商事
長期,,7517,黒田電気
長期,,7518,ネットワンシステムズ
長期,○,7520,エコス
長期,,7532,ドンキホーテホールディングス
売短,○,7533,グリーンクロス
長期,,7537,丸文
売短,,7544,スリーエフ
長期,,7545,西松屋チェーン
長期,,7550,ゼンショーホールディングス
長期,,7552,ハピネット
長期,,7554,幸楽苑ホールディングス
長期,,7561,ハークスレイ
売短,○,7577,パスポート
長期,,7581,サイゼリヤ
売短,○,7590,タカショー
長期,,7593,ＶＴホールディングス
長期,○,7594,マルカキカイ
長期,○,7595,アルゴグラフィックス
長期,,7599,ガリバーインターナショナル
長期,,7601,ポプラ
売短,○,7605,フジ・コーポレーション
長期,,7606,ユナイテッドアローズ
長期,○,7607,進和
長期,,7609,ダイトエレクトロン
売短,,7610,テイツー
長期,,7611,ハイデイ日高
長期,,7613,シークス
売短,○,7614,オーエムツーネットワーク
長期,,7615,京都きもの友禅
長期,,7619,田中商事
売短,○,7624,ＮａＩＴＯ
売短,,7625,グローバルダイニング
売短,,7630,壱番屋
長期,,7637,白銅
長期,,7640,トップカルチャー
長期,○,7646,ＰＬＡＮＴ
長期,,7649,スギホールディングス
長期,,7701,島津製作所
長期,,7702,ＪＭＳ
売短,○,7713,シグマ光機
長期,○,7716,ナカニシ
長期,,7718,スター精密
売短,○,7719,東京衡機
売短,,7725,インターアクション
長期,,7729,東京精密
長期,,7730,マニー
長期,,7731,ニコン
長期,,7732,トプコン
長期,,7733,オリンパス
長期,,7734,理研計器
長期,,7735,ＳＣＲＥＥＮホールディングス
長期,,7739,キヤノン電子
長期,,7740,タムロン
長期,,7741,ＨＯＹＡ
長期,,7744,ノーリツ鋼機
長期,,7745,エー・アンド・デイ
長期,,7747,朝日インテック
長期,,7751,キヤノン
長期,,7752,リコー
長期,,7762,シチズンホールディングス
長期,,7769,リズム時計工業
売短,○,7776,セルシード
売短,○,7777,スリー・ディー・マトリックス
長期,,7780,メニコン
売短,○,7814,日本創発グループ
長期,,7817,パラマウントベッドホールディングス
売短,○,7818,トランザクション
売短,,7821,前田工繊
長期,,7823,アートネイチャー
売短,○,7829,サマンサタバサジャパンリミテッド
長期,,7832,バンダイナムコホールディングス
長期,,7833,アイフィスジャパン
長期,,7838,共立印刷
長期,○,7839,ＳＨＯＥＩ
長期,,7840,フランスベッドホールディングス
長期,,7846,パイロットコーポレーション
売短,○,7847,グラファイトデザイン
長期,,7856,萩原工業
長期,,7860,エイベックス・グループ・ホールディングス
長期,,7862,トッパン・フォームズ
長期,,7864,フジシールインターナショナル
長期,,7867,タカラトミー
長期,,7868,廣済堂
売短,○,7870,福島印刷
長期,○,7872,Ａｓ－ｍｅエステール
長期,,7873,アーク
長期,○,7874,レック
長期,,7885,タカノ
長期,○,7893,プロネクサス
長期,,7898,ウッドワン
長期,,7905,大建工業
長期,,7911,凸版印刷
長期,,7912,大日本印刷
長期,,7914,共同印刷
長期,,7916,光村印刷
長期,,7917,藤森工業
長期,,7921,宝印刷
長期,,7925,前澤化成工業
売短,○,7928,旭化学工業
長期,,7936,アシックス
長期,,7937,ツツミ
長期,,7942,ＪＳＰ
長期,,7943,ニチハ
長期,,7947,エフピコ
長期,,7949,小松ウオール工業
長期,,7951,ヤマハ
長期,,7955,クリナップ
長期,,7956,ピジョン
長期,,7958,天馬
長期,,7961,兼松日産農林
売短,,7962,キングジム
売短,,7963,興研
長期,,7966,リンテック
長期,,7970,信越ポリマー
長期,,7971,東リ
長期,,7972,イトーキ
長期,,7974,任天堂
長期,,7976,三菱鉛筆
長期,,7979,松風
長期,,7981,タカラスタンダード
長期,,7984,コクヨ
長期,,7987,ナカバヤシ
長期,,7988,ニフコ
売短,,7989,立川ブラインド工業
売短,○,7992,セーラー万年筆
長期,,7994,岡村製作所
長期,,7995,日本バルカー工業
長期,,8001,伊藤忠商事
長期,,8002,丸紅
長期,,8007,高島
長期,,8008,ヨンドシーホールディングス
長期,,8011,三陽商会
長期,,8012,長瀬産業
売短,,8013,ナイガイ
長期,,8014,蝶理
長期,,8015,豊田通商
長期,,8016,オンワードホールディングス
長期,,8018,三共生興
長期,,8020,兼松
長期,,8022,美津濃
長期,○,8025,ツカモトコーポレーション
長期,,8028,ファミリーマート
長期,,8029,ルック
長期,,8031,三井物産
長期,,8032,日本紙パルプ商事
長期,,8035,東京エレクトロン
長期,,8036,日立ハイテクノロジーズ
長期,,8037,カメイ
長期,,8038,東都水産
長期,,8043,スターゼン
長期,,8050,セイコーホールディングス
長期,,8051,山善
長期,,8052,椿本興業
長期,,8053,住友商事
長期,,8057,内田洋行
長期,,8058,三菱商事
長期,,8059,第一実業
長期,,8060,キヤノンマーケティングジャパン
長期,,8061,西華産業
長期,○,8065,佐藤商事
長期,,8068,菱洋エレクトロ
長期,,8070,東京産業
長期,,8074,ユアサ商事
長期,,8075,神鋼商事
長期,,8077,小林産業
長期,,8078,阪和興業
売短,,8079,正栄食品工業
長期,○,8081,カナデン
長期,,8084,菱電商事
長期,,8086,ニプロ
長期,,8088,岩谷産業
長期,,8089,すてきナイスグループ
長期,,8095,イワキ
長期,,8096,兼松エレクトロニクス
長期,,8097,三愛石油
長期,,8098,稲畑産業
長期,,8103,明和産業
長期,,8113,ユニ・チャーム
長期,,8114,デサント
長期,,8118,キング
長期,,8125,ワキタ
長期,,8127,ヤマトインターナショナル
長期,,8129,東邦ホールディングス
長期,,8130,サンゲツ
長期,,8131,ミツウロコグループホールディングス
長期,,8132,シナネンホールディングス
長期,,8133,伊藤忠エネクス
長期,,8136,サンリオ
長期,,8137,サンワテクノス
長期,,8140,リョーサン
長期,,8141,新光商事
長期,,8142,トーホー
長期,,8150,三信電気
長期,,8151,東陽テクニカ
長期,,8153,モスフードサービス
長期,○,8154,加賀電子
長期,,8155,三益半導体工業
長期,,8158,ソーダニッカ
長期,,8159,立花エレテック
長期,,8160,木曽路
長期,,8163,サトレストランシステムズ
長期,,8165,千趣会
売短,,8166,タカキュー
売短,,8168,ケーヨー
長期,,8170,アデランス
売短,○,8171,マックスバリュ中部
長期,,8173,上新電機
長期,,8174,日本瓦斯
長期,,8175,ベスト電器
長期,,8179,ロイヤルホールディングス
長期,○,8182,いなげや
長期,,8184,島忠
長期,,8185,チヨダ
売短,,8186,大塚家具
長期,,8194,ライフコーポレーション
売短,○,8198,マックスバリュ東海
売短,,8200,リンガーハット
売短,,8202,ラオックス
長期,○,8207,テンアライド
長期,,8214,ＡＯＫＩホールディングス
長期,,8217,オークワ
長期,,8218,コメリ
長期,,8219,青山商事
長期,,8227,しまむら
長期,,8233,高島屋
売短,,8237,松屋
長期,,8242,エイチ・ツー・オー　リテイリング
長期,,8251,パルコ
長期,,8252,丸井グループ
長期,,8253,クレディセゾン
長期,,8255,アクシアル　リテイリング
売短,○,8256,プロルート丸光
長期,,8267,イオン
長期,,8270,ユニーグループ・ホールディングス
長期,,8273,イズミ
長期,,8274,東武ストア
長期,,8276,平和堂
長期,,8278,フジ
長期,,8279,ヤオコー
長期,,8281,ゼビオホールディングス
長期,,8282,ケーズホールディングス
長期,,8283,ＰＡＬＴＡＣ
売短,○,8287,マックスバリュ西日本
長期,,8289,Ｏｌｙｍｐｉｃグループ
長期,,8303,新生銀行
長期,,8304,あおぞら銀行
長期,,8306,三菱ＵＦＪフィナンシャル・グループ
長期,,8308,りそなホールディングス
長期,,8309,三井住友トラスト・ホールディングス
長期,,8316,三井住友フィナンシャルグループ
長期,,8324,第四銀行
長期,,8325,北越銀行
長期,,8327,西日本シティ銀行
長期,,8331,千葉銀行
長期,,8332,横浜銀行
長期,,8333,常陽銀行
長期,,8334,群馬銀行
長期,,8336,武蔵野銀行
長期,,8337,千葉興業銀行
長期,,8338,筑波銀行
長期,,8341,七十七銀行
長期,,8342,青森銀行
長期,,8343,秋田銀行
長期,,8344,山形銀行
長期,,8345,岩手銀行
長期,,8346,東邦銀行
長期,,8350,みちのく銀行
長期,,8354,ふくおかフィナンシャルグループ
長期,,8355,静岡銀行
長期,,8356,十六銀行
長期,,8358,スルガ銀行
長期,,8359,八十二銀行
長期,,8360,山梨中央銀行
長期,,8361,大垣共立銀行
長期,,8362,福井銀行
長期,,8363,北國銀行
長期,,8364,清水銀行
長期,,8365,富山銀行
長期,,8366,滋賀銀行
長期,,8367,南都銀行
長期,,8368,百五銀行
長期,,8369,京都銀行
長期,,8370,紀陽銀行
長期,,8374,三重銀行
長期,,8377,ほくほくフィナンシャルグループ
長期,,8379,広島銀行
長期,,8381,山陰合同銀行
長期,,8382,中国銀行
長期,,8383,鳥取銀行
長期,,8385,伊予銀行
長期,,8386,百十四銀行
長期,,8387,四国銀行
長期,,8388,阿波銀行
長期,,8392,大分銀行
長期,,8393,宮崎銀行
長期,,8395,佐賀銀行
長期,,8396,十八銀行
長期,,8397,沖縄銀行
長期,,8399,琉球銀行
長期,,8410,セブン銀行
長期,,8411,みずほフィナンシャルグループ
長期,,8416,高知銀行
長期,,8418,山口フィナンシャルグループ
長期,,8424,芙蓉総合リース
長期,,8425,興銀リース
長期,,8439,東京センチュリーリース
長期,,8473,ＳＢＩホールディングス
長期,,8508,Ｊトラスト
長期,,8511,日本証券金融
長期,,8515,アイフル
売短,,8519,ポケットカード
長期,,8522,名古屋銀行
長期,,8524,北洋銀行
長期,,8527,愛知銀行
長期,,8529,第三銀行
長期,,8530,中京銀行
長期,,8536,東日本銀行
長期,,8537,大光銀行
長期,,8541,愛媛銀行
長期,,8542,トマト銀行
長期,,8543,みなと銀行
長期,,8544,京葉銀行
長期,,8545,関西アーバン銀行
長期,,8550,栃木銀行
売短,,8551,北日本銀行
長期,,8558,東和銀行
長期,,8563,大東銀行
長期,,8566,リコーリース
長期,,8570,イオンフィナンシャルサービス
長期,,8572,アコム
長期,,8584,ジャックス
長期,,8585,オリエントコーポレーション
長期,,8586,日立キャピタル
長期,,8591,オリックス
長期,,8593,三菱ＵＦＪリース
長期,,8595,ジャフコ
長期,,8600,トモニホールディングス
長期,,8601,大和証券グループ本社
長期,,8604,野村ホールディングス
長期,,8609,岡三証券グループ
長期,,8613,丸三証券
長期,,8614,東洋証券
長期,,8616,東海東京フィナンシャル・ホールディングス
長期,,8622,水戸証券
長期,,8624,いちよし証券
長期,,8628,松井証券
長期,,8630,損保ジャパン日本興亜ホールディングス
長期,○,8685,アメリカンインターナショナルグループ
長期,,8697,日本取引所グループ
長期,,8698,マネックスグループ
売短,,8706,極東証券
長期,,8707,岩井コスモホールディングス
長期,,8708,藍澤證券
長期,,8713,フィデアホールディングス
長期,,8714,池田泉州ホールディングス
売短,○,8721,ベンチャー・リヴァイタライズ証券投資法人　投資証券
長期,,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス
長期,,8729,ソニーフィナンシャルホールディングス
売短,○,8746,第一商品
長期,,8750,第一生命保険
長期,,8766,東京海上ホールディングス
長期,○,8772,アサックス
売短,,8787,ＵＣＳ
長期,,8793,ＮＥＣキャピタルソリューション
長期,,8795,Ｔ＆Ｄホールディングス
長期,,8801,三井不動産
長期,,8802,三菱地所
長期,,8803,平和不動産
長期,,8804,東京建物
長期,,8806,ダイビル
長期,,8818,京阪神ビルディング
長期,,8830,住友不動産
長期,,8835,太平洋興発
長期,,8840,大京
長期,,8841,テーオーシー
売短,○,8842,東京楽天地
長期,,8848,レオパレス２１
長期,○,8850,スターツコーポレーション
長期,○,8864,空港施設
長期,,8870,住友不動産販売
長期,,8871,ゴールドクレスト
長期,,8876,リロ・ホールディング
長期,,8877,日本エスリード
長期,,8881,日神不動産
売短,,8887,リベレステ
売短,,8894,原弘産
長期,,8897,タカラレーベン
長期,,8904,サンヨーハウジング名古屋
長期,,8905,イオンモール
売短,○,8908,毎日コムネット
売短,,8909,シノケングループ
売短,,8914,エリアリンク
長期,,8917,ファースト住建
売短,○,8918,ランド
長期,,8920,東祥
長期,,8923,トーセイ
売短,,8927,明豊エンタープライズ
長期,,8928,穴吹興産
売短,○,8929,青山財産ネットワークス
長期,,8933,エヌ・ティ・ティ都市開発
長期,,8935,エフ・ジェー・ネクスト
売短,,8940,インテリックス
売短,○,8946,ＡＳＩＡＮ　ＳＴＡＲ
長期,,8951,日本ビルファンド投資法人　投資証券
長期,,8952,ジャパンリアルエステイト投資法人　投資証券
長期,,8953,日本リテールファンド投資法人　投資証券
長期,,8954,オリックス不動産投資法人　投資証券
長期,,8955,日本プライムリアルティ投資法人　投資証券
長期,,8956,プレミア投資法人　投資証券
長期,,8957,東急リアル・エステート投資法人　投資証券
長期,○,8958,グローバル・ワン不動産投資法人　投資証券
長期,,8960,ユナイテッド・アーバン投資法人　投資証券
長期,,8961,森トラスト総合リート投資法人　投資証券
長期,,8963,インヴィンシブル投資法人　投資証券
長期,,8964,フロンティア不動産投資法人　投資証券
長期,,8966,平和不動産リート投資法人　投資証券
長期,,8967,日本ロジスティクスファンド投資法人　投資証券
長期,,8968,福岡リート投資法人　投資証券
長期,,8972,ケネディクス・オフィス投資法人　投資証券
